ts,price,mrp,in_stock,seller,shipper
2026-08-11T00:02:44+00:00,594.00,1205.00,1,,
2026-08-11T02:19:38+00:00,594.00,1205.00,1,,
2026-08-11T03:56:39+00:00,594.00,1205.00,1,,
2026-08-11T05:03:52+00:00,594.00,1205.00,1,,
2026-08-11T06:00:44+00:00,594.00,1205.00,1,,
2026-08-11T07:12:52+00:00,594.00,1205.00,1,,
2026-08-11T08:14:56+00:00,594.00,1205.00,1,,
2026-08-11T09:16:10+00:00,594.00,1205.00,1,,
2026-08-11T10:13:50+00:00,594.00,1205.00,1,,
2026-08-11T11:07:03+00:00,594.00,1205.00,1,,
2026-08-11T11:52:47+00:00,594.00,1205.00,1,,
2026-08-11T12:31:52+00:00,594.00,1205.00,1,,
2026-08-11T13:57:37+00:00,594.00,1205.00,1,,
2026-08-11T14:54:24+00:00,594.00,1205.00,1,,
2026-08-11T15:57:20+00:00,594.00,1205.00,1,,
2026-08-11T16:54:46+00:00,594.00,1205.00,1,,
2026-08-11T17:55:14+00:00,594.00,1205.00,1,,
2026-08-11T18:57:05+00:00,594.00,1205.00,1,,
2026-08-11T19:59:02+00:00,594.00,1205.00,1,,
2026-08-11T20:41:02+00:00,594.00,1205.00,1,,
2026-08-11T21:27:41+00:00,594.00,1205.00,1,,
2026-08-11T22:10:51+00:00,594.00,1205.00,1,,
2026-08-11T23:00:16+00:00,594.00,1205.00,1,,
2026-08-11T23:41:35+00:00,594.00,1205.00,1,,
2026-08-12T00:41:20+00:00,594.00,1205.00,1,,
2026-08-12T03:09:16+00:00,594.00,1205.00,1,,
2026-08-12T04:57:17+00:00,594.00,1205.00,1,,
2026-08-12T06:10:40+00:00,594.00,1205.00,1,,
2026-08-12T07:48:47+00:00,594.00,1205.00,1,,
2026-08-12T08:53:28+00:00,594.00,1205.00,1,,
2026-08-12T09:59:05+00:00,594.00,1205.00,1,,
2026-08-12T10:58:58+00:00,594.00,1205.00,1,,
2026-08-12T11:43:58+00:00,594.00,1205.00,1,,
2026-08-12T12:34:35+00:00,594.00,1205.00,1,,
2026-08-12T14:03:50+00:00,594.00,1205.00,1,,
2026-08-12T15:10:27+00:00,594.00,1205.00,1,,
